alpha,block_size,key_range,read_prob,success_rate
1.03,8,100,0.1,0.962
1.03,8,100,0.1,0.959
1.03,8,100,0.1,0.969
1.03,8,100,0.1,0.96
1.03,8,100,0.1,0.947
1.03,8,100,0.1,0.953
1.03,8,100,0.1,0.939
1.03,8,100,0.1,0.953
1.03,8,100,0.1,0.952
1.03,8,100,0.1,0.953
1.03,8,100,0.1,0.955
1.03,8,100,0.1,0.953
1.03,8,100,0.1,0.957
1.03,8,100,0.1,0.945
1.03,8,100,0.1,0.95
1.03,8,100,0.1,0.963
1.03,8,100,0.1,0.95
1.03,8,100,0.1,0.945
1.03,8,100,0.1,0.936
1.03,8,100,0.1,0.941
1.03,8,100,0.1,0.955
1.03,8,100,0.1,0.949
1.03,8,100,0.1,0.952
1.03,8,100,0.1,0.965
1.03,8,100,0.1,0.958
1.03,8,100,0.1,0.947
1.03,8,100,0.1,0.953
1.03,8,100,0.1,0.948
1.03,8,100,0.1,0.955
1.03,8,100,0.1,0.938
1.03,8,100,0.1,0.948
1.03,8,100,0.1,0.936
1.03,8,100,0.1,0.949
1.03,8,100,0.1,0.953
1.03,8,100,0.1,0.945
1.03,8,100,0.1,0.95
1.03,8,100,0.1,0.947
1.03,8,100,0.1,0.956
1.03,8,100,0.1,0.958
1.03,8,100,0.1,0.945
1.03,8,100,0.1,0.954
1.03,8,100,0.1,0.958
1.03,8,100,0.1,0.952
1.03,8,100,0.1,0.955
1.03,8,100,0.1,0.938
1.03,8,100,0.1,0.948
1.03,8,100,0.1,0.93
1.03,8,100,0.1,0.947
1.03,8,100,0.1,0.951
1.03,8,100,0.1,0.954
1.03,8,100,0.3,0.964
1.03,8,100,0.3,0.967
1.03,8,100,0.3,0.967
1.03,8,100,0.3,0.965
1.03,8,100,0.3,0.962
1.03,8,100,0.3,0.956
1.03,8,100,0.3,0.973
1.03,8,100,0.3,0.966
1.03,8,100,0.3,0.969
1.03,8,100,0.3,0.977
1.03,8,100,0.3,0.961
1.03,8,100,0.3,0.958
1.03,8,100,0.3,0.966
1.03,8,100,0.3,0.971
1.03,8,100,0.3,0.971
1.03,8,100,0.3,0.961
1.03,8,100,0.3,0.978
1.03,8,100,0.3,0.968
1.03,8,100,0.3,0.965
1.03,8,100,0.3,0.98
1.03,8,100,0.3,0.955
1.03,8,100,0.3,0.956
1.03,8,100,0.3,0.962
1.03,8,100,0.3,0.971
1.03,8,100,0.3,0.964
1.03,8,100,0.3,0.966
1.03,8,100,0.3,0.976
1.03,8,100,0.3,0.967
1.03,8,100,0.3,0.968
1.03,8,100,0.3,0.957
1.03,8,100,0.3,0.962
1.03,8,100,0.3,0.971
1.03,8,100,0.3,0.966
1.03,8,100,0.3,0.964
1.03,8,100,0.3,0.963
1.03,8,100,0.3,0.967
1.03,8,100,0.3,0.967
1.03,8,100,0.3,0.956
1.03,8,100,0.3,0.969
1.03,8,100,0.3,0.971
1.03,8,100,0.3,0.96
1.03,8,100,0.3,0.957
1.03,8,100,0.3,0.971
1.03,8,100,0.3,0.965
1.03,8,100,0.3,0.968
1.03,8,100,0.3,0.967
1.03,8,100,0.3,0.95
1.03,8,100,0.3,0.97
1.03,8,100,0.3,0.973
1.03,8,100,0.3,0.958
1.03,8,100,0.5,0.979
1.03,8,100,0.5,0.971
1.03,8,100,0.5,0.98
1.03,8,100,0.5,0.97
1.03,8,100,0.5,0.976
1.03,8,100,0.5,0.972
1.03,8,100,0.5,0.987
1.03,8,100,0.5,0.976
1.03,8,100,0.5,0.971
1.03,8,100,0.5,0.981
1.03,8,100,0.5,0.964
1.03,8,100,0.5,0.981
1.03,8,100,0.5,0.98
1.03,8,100,0.5,0.978
1.03,8,100,0.5,0.975
1.03,8,100,0.5,0.968
1.03,8,100,0.5,0.969
1.03,8,100,0.5,0.971
1.03,8,100,0.5,0.964
1.03,8,100,0.5,0.982
1.03,8,100,0.5,0.977
1.03,8,100,0.5,0.986
1.03,8,100,0.5,0.982
1.03,8,100,0.5,0.979
1.03,8,100,0.5,0.971
1.03,8,100,0.5,0.977
1.03,8,100,0.5,0.969
1.03,8,100,0.5,0.978
1.03,8,100,0.5,0.982
1.03,8,100,0.5,0.985
1.03,8,100,0.5,0.984
1.03,8,100,0.5,0.982
1.03,8,100,0.5,0.97
1.03,8,100,0.5,0.977
1.03,8,100,0.5,0.971
1.03,8,100,0.5,0.979
1.03,8,100,0.5,0.974
1.03,8,100,0.5,0.976
1.03,8,100,0.5,0.98
1.03,8,100,0.5,0.971
1.03,8,100,0.5,0.978
1.03,8,100,0.5,0.981
1.03,8,100,0.5,0.977
1.03,8,100,0.5,0.977
1.03,8,100,0.5,0.979
1.03,8,100,0.5,0.971
1.03,8,100,0.5,0.975
1.03,8,100,0.5,0.97
1.03,8,100,0.5,0.975
1.03,8,100,0.5,0.98
1.03,8,100,0.7,0.982
1.03,8,100,0.7,0.994
1.03,8,100,0.7,0.991
1.03,8,100,0.7,0.988
1.03,8,100,0.7,0.992
1.03,8,100,0.7,0.992
1.03,8,100,0.7,0.993
1.03,8,100,0.7,0.984
1.03,8,100,0.7,0.985
1.03,8,100,0.7,0.988
1.03,8,100,0.7,0.991
1.03,8,100,0.7,0.987
1.03,8,100,0.7,0.983
1.03,8,100,0.7,0.987
1.03,8,100,0.7,0.984
1.03,8,100,0.7,0.987
1.03,8,100,0.7,0.996
1.03,8,100,0.7,0.989
1.03,8,100,0.7,0.991
1.03,8,100,0.7,0.989
1.03,8,100,0.7,0.986
1.03,8,100,0.7,0.987
1.03,8,100,0.7,0.98
1.03,8,100,0.7,0.99
1.03,8,100,0.7,0.992
1.03,8,100,0.7,0.99
1.03,8,100,0.7,0.979
1.03,8,100,0.7,0.987
1.03,8,100,0.7,0.986
1.03,8,100,0.7,0.984
1.03,8,100,0.7,0.989
1.03,8,100,0.7,0.987
1.03,8,100,0.7,0.99
1.03,8,100,0.7,0.987
1.03,8,100,0.7,0.991
1.03,8,100,0.7,0.992
1.03,8,100,0.7,0.995
1.03,8,100,0.7,0.986
1.03,8,100,0.7,0.991
1.03,8,100,0.7,0.995
1.03,8,100,0.7,0.984
1.03,8,100,0.7,0.981
1.03,8,100,0.7,0.986
1.03,8,100,0.7,0.99
1.03,8,100,0.7,0.986
1.03,8,100,0.7,0.989
1.03,8,100,0.7,0.984
1.03,8,100,0.7,0.99
1.03,8,100,0.7,0.993
1.03,8,100,0.7,0.992
1.03,8,100,0.9,0.997
1.03,8,100,0.9,0.999
1.03,8,100,0.9,0.994
1.03,8,100,0.9,0.996
1.03,8,100,0.9,0.998
1.03,8,100,0.9,0.998
1.03,8,100,0.9,0.995
1.03,8,100,0.9,0.993
1.03,8,100,0.9,0.992
1.03,8,100,0.9,0.998
1.03,8,100,0.9,0.995
1.03,8,100,0.9,0.995
1.03,8,100,0.9,0.996
1.03,8,100,0.9,0.999
1.03,8,100,0.9,0.997
1.03,8,100,0.9,0.994
1.03,8,100,0.9,0.998
1.03,8,100,0.9,0.992
1.03,8,100,0.9,0.996
1.03,8,100,0.9,0.998
1.03,8,100,0.9,0.995
1.03,8,100,0.9,0.998
1.03,8,100,0.9,0.998
1.03,8,100,0.9,0.992
1.03,8,100,0.9,0.996
1.03,8,100,0.9,1.0
1.03,8,100,0.9,0.997
1.03,8,100,0.9,0.996
1.03,8,100,0.9,0.996
1.03,8,100,0.9,0.997
1.03,8,100,0.9,0.998
1.03,8,100,0.9,0.996
1.03,8,100,0.9,0.997
1.03,8,100,0.9,0.994
1.03,8,100,0.9,0.999
1.03,8,100,0.9,0.993
1.03,8,100,0.9,0.994
1.03,8,100,0.9,0.999
1.03,8,100,0.9,0.993
1.03,8,100,0.9,0.999
1.03,8,100,0.9,0.996
1.03,8,100,0.9,0.996
1.03,8,100,0.9,0.992
1.03,8,100,0.9,0.996
1.03,8,100,0.9,0.994
1.03,8,100,0.9,0.995
1.03,8,100,0.9,0.996
1.03,8,100,0.9,0.999
1.03,8,100,0.9,0.999
1.03,8,100,0.9,0.994
1.01,8,100,0.5,0.972
1.01,8,100,0.5,0.956
1.01,8,100,0.5,0.979
1.01,8,100,0.5,0.981
1.01,8,100,0.5,0.974
1.01,8,100,0.5,0.981
1.01,8,100,0.5,0.968
1.01,8,100,0.5,0.976
1.01,8,100,0.5,0.979
1.01,8,100,0.5,0.974
1.01,8,100,0.5,0.972
1.01,8,100,0.5,0.981
1.01,8,100,0.5,0.977
1.01,8,100,0.5,0.973
1.01,8,100,0.5,0.984
1.01,8,100,0.5,0.964
1.01,8,100,0.5,0.976
1.01,8,100,0.5,0.977
1.01,8,100,0.5,0.978
1.01,8,100,0.5,0.966
1.01,8,100,0.5,0.971
1.01,8,100,0.5,0.973
1.01,8,100,0.5,0.972
1.01,8,100,0.5,0.98
1.01,8,100,0.5,0.973
1.01,8,100,0.5,0.973
1.01,8,100,0.5,0.974
1.01,8,100,0.5,0.976
1.01,8,100,0.5,0.973
1.01,8,100,0.5,0.976
1.01,8,100,0.5,0.977
1.01,8,100,0.5,0.978
1.01,8,100,0.5,0.976
1.01,8,100,0.5,0.973
1.01,8,100,0.5,0.981
1.01,8,100,0.5,0.971
1.01,8,100,0.5,0.978
1.01,8,100,0.5,0.98
1.01,8,100,0.5,0.981
1.01,8,100,0.5,0.977
1.01,8,100,0.5,0.975
1.01,8,100,0.5,0.97
1.01,8,100,0.5,0.978
1.01,8,100,0.5,0.975
1.01,8,100,0.5,0.976
1.01,8,100,0.5,0.979
1.01,8,100,0.5,0.965
1.01,8,100,0.5,0.974
1.01,8,100,0.5,0.97
1.01,8,100,0.5,0.971
1.03,8,100,0.5,0.975
1.03,8,100,0.5,0.973
1.03,8,100,0.5,0.981
1.03,8,100,0.5,0.98
1.03,8,100,0.5,0.969
1.03,8,100,0.5,0.982
1.03,8,100,0.5,0.979
1.03,8,100,0.5,0.984
1.03,8,100,0.5,0.981
1.03,8,100,0.5,0.976
1.03,8,100,0.5,0.971
1.03,8,100,0.5,0.975
1.03,8,100,0.5,0.98
1.03,8,100,0.5,0.981
1.03,8,100,0.5,0.975
1.03,8,100,0.5,0.979
1.03,8,100,0.5,0.986
1.03,8,100,0.5,0.978
1.03,8,100,0.5,0.975
1.03,8,100,0.5,0.981
1.03,8,100,0.5,0.984
1.03,8,100,0.5,0.974
1.03,8,100,0.5,0.977
1.03,8,100,0.5,0.969
1.03,8,100,0.5,0.971
1.03,8,100,0.5,0.974
1.03,8,100,0.5,0.976
1.03,8,100,0.5,0.963
1.03,8,100,0.5,0.982
1.03,8,100,0.5,0.978
1.03,8,100,0.5,0.984
1.03,8,100,0.5,0.974
1.03,8,100,0.5,0.979
1.03,8,100,0.5,0.974
1.03,8,100,0.5,0.978
1.03,8,100,0.5,0.98
1.03,8,100,0.5,0.978
1.03,8,100,0.5,0.976
1.03,8,100,0.5,0.984
1.03,8,100,0.5,0.976
1.03,8,100,0.5,0.973
1.03,8,100,0.5,0.96
1.03,8,100,0.5,0.973
1.03,8,100,0.5,0.978
1.03,8,100,0.5,0.974
1.03,8,100,0.5,0.98
1.03,8,100,0.5,0.985
1.03,8,100,0.5,0.979
1.03,8,100,0.5,0.971
1.03,8,100,0.5,0.978
1.05,8,100,0.5,0.962
1.05,8,100,0.5,0.978
1.05,8,100,0.5,0.983
1.05,8,100,0.5,0.969
1.05,8,100,0.5,0.97
1.05,8,100,0.5,0.971
1.05,8,100,0.5,0.976
1.05,8,100,0.5,0.977
1.05,8,100,0.5,0.982
1.05,8,100,0.5,0.981
1.05,8,100,0.5,0.98
1.05,8,100,0.5,0.986
1.05,8,100,0.5,0.97
1.05,8,100,0.5,0.976
1.05,8,100,0.5,0.971
1.05,8,100,0.5,0.973
1.05,8,100,0.5,0.974
1.05,8,100,0.5,0.973
1.05,8,100,0.5,0.966
1.05,8,100,0.5,0.98
1.05,8,100,0.5,0.979
1.05,8,100,0.5,0.98
1.05,8,100,0.5,0.976
1.05,8,100,0.5,0.972
1.05,8,100,0.5,0.968
1.05,8,100,0.5,0.976
1.05,8,100,0.5,0.983
1.05,8,100,0.5,0.974
1.05,8,100,0.5,0.98
1.05,8,100,0.5,0.978
1.05,8,100,0.5,0.976
1.05,8,100,0.5,0.972
1.05,8,100,0.5,0.978
1.05,8,100,0.5,0.981
1.05,8,100,0.5,0.971
1.05,8,100,0.5,0.981
1.05,8,100,0.5,0.98
1.05,8,100,0.5,0.983
1.05,8,100,0.5,0.976
1.05,8,100,0.5,0.975
1.05,8,100,0.5,0.974
1.05,8,100,0.5,0.971
1.05,8,100,0.5,0.981
1.05,8,100,0.5,0.964
1.05,8,100,0.5,0.974
1.05,8,100,0.5,0.976
1.05,8,100,0.5,0.97
1.05,8,100,0.5,0.982
1.05,8,100,0.5,0.982
1.05,8,100,0.5,0.974
1.07,8,100,0.5,0.969
1.07,8,100,0.5,0.973
1.07,8,100,0.5,0.971
1.07,8,100,0.5,0.968
1.07,8,100,0.5,0.97
1.07,8,100,0.5,0.966
1.07,8,100,0.5,0.976
1.07,8,100,0.5,0.97
1.07,8,100,0.5,0.972
1.07,8,100,0.5,0.969
1.07,8,100,0.5,0.973
1.07,8,100,0.5,0.962
1.07,8,100,0.5,0.97
1.07,8,100,0.5,0.955
1.07,8,100,0.5,0.984
1.07,8,100,0.5,0.973
1.07,8,100,0.5,0.979
1.07,8,100,0.5,0.975
1.07,8,100,0.5,0.971
1.07,8,100,0.5,0.959
1.07,8,100,0.5,0.973
1.07,8,100,0.5,0.966
1.07,8,100,0.5,0.979
1.07,8,100,0.5,0.972
1.07,8,100,0.5,0.98
1.07,8,100,0.5,0.966
1.07,8,100,0.5,0.969
1.07,8,100,0.5,0.966
1.07,8,100,0.5,0.962
1.07,8,100,0.5,0.963
1.07,8,100,0.5,0.968
1.07,8,100,0.5,0.98
1.07,8,100,0.5,0.976
1.07,8,100,0.5,0.975
1.07,8,100,0.5,0.969
1.07,8,100,0.5,0.973
1.07,8,100,0.5,0.957
1.07,8,100,0.5,0.966
1.07,8,100,0.5,0.978
1.07,8,100,0.5,0.969
1.07,8,100,0.5,0.981
1.07,8,100,0.5,0.97
1.07,8,100,0.5,0.969
1.07,8,100,0.5,0.976
1.07,8,100,0.5,0.968
1.07,8,100,0.5,0.968
1.07,8,100,0.5,0.983
1.07,8,100,0.5,0.963
1.07,8,100,0.5,0.971
1.07,8,100,0.5,0.964
1.09,8,100,0.5,0.96
1.09,8,100,0.5,0.961
1.09,8,100,0.5,0.964
1.09,8,100,0.5,0.967
1.09,8,100,0.5,0.957
1.09,8,100,0.5,0.956
1.09,8,100,0.5,0.962
