alpha,block_size,key_range,success_rate
1.01,8,100,0.957
1.01,8,100,0.96
1.01,8,100,0.964
1.01,8,100,0.965
1.01,8,100,0.968
1.01,8,100,0.971
1.01,8,100,0.967
1.01,8,100,0.967
1.01,8,100,0.965
1.01,8,100,0.959
1.01,8,100,0.963
1.01,8,100,0.963
1.01,8,100,0.964
1.01,8,100,0.972
1.01,8,100,0.958
1.01,8,100,0.959
1.01,8,100,0.964
1.01,8,100,0.968
1.01,8,100,0.965
1.01,8,100,0.962
1.01,8,100,0.967
1.01,8,100,0.964
1.01,8,100,0.951
1.01,8,100,0.972
1.01,8,100,0.967
1.01,8,100,0.965
1.01,8,100,0.959
1.01,8,100,0.967
1.01,8,100,0.962
1.01,8,100,0.964
1.01,8,100,0.961
1.01,8,100,0.957
1.01,8,100,0.972
1.01,8,100,0.961
1.01,8,100,0.961
1.01,8,100,0.966
1.01,8,100,0.966
1.01,8,100,0.957
1.01,8,100,0.974
1.01,8,100,0.971
1.01,8,100,0.964
1.01,8,100,0.965
1.01,8,100,0.963
1.01,8,100,0.955
1.01,8,100,0.966
1.01,8,100,0.971
1.01,8,100,0.958
1.01,8,100,0.966
1.01,8,100,0.962
1.01,8,100,0.959
1.03,8,100,0.948
1.03,8,100,0.948
1.03,8,100,0.942
1.03,8,100,0.953
1.03,8,100,0.952
1.03,8,100,0.952
1.03,8,100,0.95
1.03,8,100,0.947
1.03,8,100,0.948
1.03,8,100,0.941
1.03,8,100,0.947
1.03,8,100,0.958
1.03,8,100,0.95
1.03,8,100,0.935
1.03,8,100,0.945
1.03,8,100,0.948
1.03,8,100,0.937
1.03,8,100,0.954
1.03,8,100,0.935
1.03,8,100,0.955
1.03,8,100,0.942
1.03,8,100,0.955
1.03,8,100,0.945
1.03,8,100,0.948
1.03,8,100,0.943
1.03,8,100,0.944
1.03,8,100,0.951
1.03,8,100,0.946
1.03,8,100,0.939
1.03,8,100,0.946
1.03,8,100,0.945
1.03,8,100,0.95
1.03,8,100,0.945
1.03,8,100,0.948
1.03,8,100,0.955
1.03,8,100,0.952
1.03,8,100,0.941
1.03,8,100,0.937
1.03,8,100,0.941
1.03,8,100,0.95
1.03,8,100,0.955
1.03,8,100,0.957
1.03,8,100,0.94
1.03,8,100,0.937
1.03,8,100,0.94
1.03,8,100,0.952
1.03,8,100,0.95
1.03,8,100,0.946
1.03,8,100,0.952
1.03,8,100,0.943
1.05,8,100,0.914
1.05,8,100,0.924
1.05,8,100,0.929
1.05,8,100,0.919
1.05,8,100,0.913
1.05,8,100,0.918
1.05,8,100,0.923
1.05,8,100,0.935
1.05,8,100,0.915
1.05,8,100,0.911
1.05,8,100,0.906
1.05,8,100,0.933
1.05,8,100,0.931
1.05,8,100,0.918
1.05,8,100,0.927
1.05,8,100,0.929
1.05,8,100,0.925
1.05,8,100,0.918
1.05,8,100,0.921
1.05,8,100,0.929
1.05,8,100,0.923
1.05,8,100,0.921
1.05,8,100,0.922
1.05,8,100,0.923
1.05,8,100,0.933
1.05,8,100,0.915
1.05,8,100,0.91
1.05,8,100,0.928
1.05,8,100,0.915
1.05,8,100,0.933
1.05,8,100,0.92
1.05,8,100,0.928
1.05,8,100,0.931
1.05,8,100,0.93
1.05,8,100,0.927
1.05,8,100,0.916
1.05,8,100,0.929
1.05,8,100,0.92
1.05,8,100,0.926
1.05,8,100,0.923
1.05,8,100,0.917
1.05,8,100,0.927
1.05,8,100,0.904
1.05,8,100,0.898
1.05,8,100,0.911
1.05,8,100,0.914
1.05,8,100,0.924
1.05,8,100,0.917
1.05,8,100,0.915
1.05,8,100,0.918
1.07,8,100,0.899
